		[PMC2447753]
Mediman	Mediman	[PMC3589687]
Medtronic CareLink	Medtronic CareLink	[PMC2827497]
Meego	Meego	[10.1007%2Fs10842-011-0105-6]
MegAlign	MegAlign	[PMC4473108]
Megawin	Megawin	[PMC5098113]
Mendeley	Mendeley	[PMC4530448]
Meniga	Meniga	[10.1111%2Fecin.12485]
Merge Toolbox	Merge Toolbox	[10.1515%2Fjbnst-2017-1004]
Meta-Disc	Meta-Disc	[PMC4989431]
MetaDieta	MetaDieta	[PMC2782970]
MetaFluor	MetaFluor	[PMC2963829]
MetaLR	MetaLR	[PMC5132076]
MetaMorph	MetaMorph	[PMC3386209,PMC3641357,PMC3281721,PMC2475704,PMC3521687,PMC3789260,PMC4640439,PMC3994298,PMC2806324,PMC4436784,PMC3925948]
MetaMorph Imaging	MetaMorph Imaging	[PMC3789260]
MetaMorph Software	MetaMorph Software	[PMC3281721]
MetaSVM	MetaSVM	[PMC5132076]
MetaboAnalyst	MetaboAnalyst	[PMC4801132]
Metamorph	Metamorph	[PMC3674238]
Metek	Metek	[PMC4310406]
Metrichor	Metrichor	[PMC5406524]
Metscape	Metscape	[PMC4801132]
MevisPULMO	MevisPULMO	[PMC4874631]
Mfold	Mfold	[PMC1933159]
Mi- croarray Suite	Mi- croarray Suite	[PMC3880993]
MiSeq	MiSeq	[PMC4542943]
Micro-Probe staining system	Micro-Probe staining system	[PMC4531765]
Micromass MarkerLynx	Micromass MarkerLynx	[PMC2238715]
Microsoft Access	Microsoft Access	[PMC3865386]
Microsoft Excel	Microsoft Excel	[PMC3595621,PMC4027884,PMC3865386,PMC4103605,PMC4015203,10.1111%2Fjems.12172,PMC4555593,a2007-48-UNDERSEA_HYPERBAR_M,PMC3905533,PMC3769723,10.1111%2F1467-8462.12246,PMC5458115,PMC3025493,PMC4915762]
Microsoft Excel 2003	Microsoft Excel 2003	[PMC3406768]
Microsoft Excel Version 2003	Microsoft Excel Version 2003	[a2007-48-UNDERSEA_HYPERBAR_M]
Microsoft Office	Microsoft Office	[PMC4214812]
Microsoft Office Excel	Microsoft Office Excel	[PMC5135399]
Microsoft SQL Server	Microsoft SQL Server	[PMC4453596]
Microsoft SQL Server 2005	Microsoft SQL Server 2005	[PMC4453596]
Microsoft Word	Microsoft Word	[10.1111%2F1467-8462.12246]
Microsystems	Microsystems	[PMC3373399]
Mimics Software	Mimics Software	[PMC4826955]
Mincmath	Mincmath	[PMC3782730]
Mini Analysis Progrom	Mini Analysis Progrom	[PMC4147369]
Minitab	Minitab	[a2010-05-BMC_MOL_BIOL,PMC4221951,PMC3782730]
Minitab®	Minitab®	[a2010-05-BMC_MOL_BIOL]
Mint.com	Mint.com	[10.1111%2Fecin.12485]
MitoPred	MitoPred	[PMC2652046]
Mlocarna	Mlocarna	[PMC2447753]
MoSeS	MoSeS	[PMC2773253]
Moblin	Moblin	[10.1007%2Fs10842-011-0105-6]
Mobyle	Mobyle	[PMC2773253]
Mobyle Pasteur	Mobyle Pasteur	[PMC2773253]
ModFit LT	ModFit LT	[PMC4812167,PMC4623144]
Modeller	Modeller	[PMC3177212]
Modeltest	Modeltest	[a2001-40-MOL_ECOL,PMC3065992]
MolProbity	MolProbity	[PMC4790474]
Molecule Annotation System	Molecule Annotation System	[PMC5334298]
Molecule Annotation System (MAS	Molecule Annotation System (MAS	[PMC5334298]
Monmlp	Monmlp	[PMC5238813]
Monster.com	Monster.com	[10.1257%2Fjep.26.2.189]
Motic Images plus	Motic Images plus	[PMC4013958]
Mouselab	Mouselab	[10.1111%2Fecin.12386]
MovieLens	MovieLens	[10.1257%2Fjep.26.2.189]
Mplus	Mplus	[PMC4849203]
MrBayes	MrBayes	[PMC3251324,PMC3589787,PMC3762194,PMC2890158,PMC3132874,PMC3065992]
MrModeltest	MrModeltest	[PMC3065992]
MulCom	MulCom	[10.1007%2Fs10258-013-0091-1]
MultAlin	MultAlin	[PMC4397380]
MultAlin program	MultAlin program	[PMC4397380]
Multi Gauge	Multi Gauge	[PMC3203616]
Multi-gauge	Multi-gauge	[PMC3819903]
MultiGauge	MultiGauge	[PMC4935458]
MultiScanBase	MultiScanBase	[PMC3598124]
Multiexperiment Viewer	Multiexperiment Viewer	[PMC3494016]
Multiexperiment Viewer (MeV	Multiexperiment Viewer (MeV	[PMC3494016]
Multigauge	Multigauge	[PMC2386104]
Multiple Em for Motif Elicitation	Multiple Em for Motif Elicitation	[PMC4540966]
Multisizer 4 Coulter counter	Multisizer 4 Coulter counter	[PMC4938145]
Murlet	Murlet	[PMC2447753]
Muscle	Muscle	[PMC2911847,PMC3384331]
Muse	Muse	[PMC5247570]
Mutation Taster	Mutation Taster	[PMC5421174]
MutationAssessor	MutationAssessor	[PMC5132076]
MutationTaster	MutationTaster	[PMC5132076]
My Structured Query Language	My Structured Query Language	[PMC3935166]
MyEquivalents	MyEquivalents	[PMC3965081]
MySMS	MySMS	[PMC4674517]
MySQL	MySQL	[PMC3013714,PMC3567485,PMC5210542,10.1007%2Fs10614-017-9706-4,10.1111%2Fj.1475-4932.2008.00494.x]
MySQL server	MySQL server	[PMC5210605]
MycoBank	MycoBank	[PMC3589787]
N master	N master	[PMC3939369]
NACCESS	NACCESS	[PMC1636350]
NAVIEW	NAVIEW	[PMC1933159]
NAview	NAview	[PMC2447753]
NCL	NCL	[PMC3964559]
NCSS	NCSS	[PMC5451875,PMC4280422]
NGL	NGL	[PMC4987885]
NGL Viewer	NGL Viewer	[PMC4987885]
NGL viewer	NGL viewer	[PMC4987885]
NGLviewer	NGLviewer	[PMC4987885]
NHLBI risk assessment web tool	NHLBI risk assessment web tool	[PMC3392846]
NIA Array Analysis	NIA Array Analysis	[PMC3589720]
NIH Image	NIH Image	[PMC4004907,PMC4360221]
NIH Image Analysis	NIH Image Analysis	[PMC4720104]
NIH imaging	NIH imaging	[PMC3197029]
NIS-Elements	NIS-Elements	[PMC5235341,PMC4621840,PMC2742187,PMC3880993]
NIS-Elements BR	NIS-Elements BR	[PMC5056991]
NISElements	NISElements	[PMC2742187]
NONMEM	NONMEM	[PMC5306244,PMC3944114,PMC4574835]
NORSnet	NORSnet	[PMC2935446]
NRecon	NRecon	[PMC4843533]
NTSYS-PC	NTSYS-PC	[a2001-40-MOL_ECOL]
NTSYS-pc	NTSYS-pc	[a2001-40-MOL_ECOL]
NVIVO	NVIVO	[PMC2759333]
NVivo	NVivo	[PMC4965703,PMC3638180,PMC3643111,PMC4166139]
Nanoparticle Tracking Analysis	Nanoparticle Tracking Analysis	[PMC4770866]
Nanoparticles Tracking Analysis	Nanoparticles Tracking Analysis	[PMC4770866]
Nanoscope	Nanoscope	[PMC4938145,PMC2887951]
Nanoscope 6.13R1	Nanoscope 6.13R1	[PMC4938145]
Navigator	Navigator	[10.1257%2Fjep.15.2.25]
NegoCalc	NegoCalc	[10.3846%2Fjbem.2010.28]
Negoisst	Negoisst	[10.3846%2Fjbem.2010.28]
NetAffx analysis center	NetAffx analysis center	[PMC3734831]
NetBeans Platform	NetBeans Platform	[PMC3490414]
NetFlix	NetFlix	[10.1007%2Fs10842-016-0243-y]
NetLogo	NetLogo	[10.1007%2Fs00191-017-0548-y]
Netscape	Netscape	[10.1257%2Fjep.13.1.181]
NetworkX	NetworkX	[PMC2881388]
Neural Network Toolbox	Neural Network Toolbox	[PMC4236336]
New Generation Biology Workbench	New Generation Biology Workbench	[PMC2773253]
Nexus	Nexus	[PMC4299502]
Nexus Copy Number	Nexus Copy Number	[PMC4830185]
Nikon NIS Elements AR	Nikon NIS Elements AR	[PMC4675898]
Nordic Image Control and Evaluation	Nordic Image Control and Evaluation	[PMC5073050]
NormFinder	NormFinder	[a2010-05-BMC_MOL_BIOL]
Northern Eclipse	Northern Eclipse	[PMC2646063]
Notes	Notes	[10.3846%2Fbtp.2007.31]
NudgerSize	NudgerSize	[PMC4724760]
NutriEval	NutriEval	[PMC2815316]
Nutritionist	Nutritionist	[PMC4388951]
Nvivo	Nvivo	[10.3138%2Fh400-0370-l1p4-k804]
OASIS	OASIS	[PMC5050532]
OCG	OCG	[PMC3939454]
OFT analysis	OFT analysis	[PMC4654549]
OMLAB	OMLAB	[PMC3027082]
OMtools	OMtools	[PMC3027082]
OPTGAME	OPTGAME	[10.1007%2Fs10614-011-9257-z]
OPUS	OPUS	[PMC5324669]
ORF Finder	ORF Finder	[PMC2731890]
ORIGIN	ORIGIN	[PMC3859226]
ORSEE	ORSEE	[10.1007%2Fs10683-017-9548-x,10.1257%2Faer.104.10.3256,10.1111%2Fecoj.12284,10.1111%2Fecin.12482,10.1111%2Fecin.12477]
OS/2	OS/2	[10.1257%2Fjep.15.2.25]
ObStruct	ObStruct	[PMC4303630]
Octopus	Octopus	[PMC4554393]
Odyssey	Odyssey	[PMC5220168]
Odyssey quantitation	Odyssey quantitation	[PMC2602909]
Office	Office	[10.1257%2Fjep.15.2.25]
Oligo	Oligo	[PMC5467779]
Omega	Omega	[PMC3829989,PMC2803435]
OnCall	OnCall	[PMC4162729]
OneSearch	OneSearch	[10.1111%2F1475-4932.12331]
Online Encyclopedia for Genetic Epidemiology studies	Online Encyclopedia for Genetic Epidemiology studies	[PMC5071723]
OnlineTED	OnlineTED	[PMC3935166]
Open Control	Open Control	[PMC4654549]
Open Office Draw Suite	Open Office Draw Suite	[PMC4481556]
OpenBUGS	OpenBUGS	[10.1007%2Fs10663-015-9287-1]
OpenClinica	OpenClinica	[PMC3246293]
OpenEpi	OpenEpi	[PMC5440001]
Openlab	Openlab	[PMC3510025]
Optimas	Optimas	[PMC4201231]
Optimizely	Optimizely	[10.1257%2Fjep.26.2.189]
Oridion Research	Oridion Research	[PMC3093010]
Origin	Origin	[PMC3702283,PMC2708934,PMC1540729,PMC3025493,PMC3664701]
OriginPro	OriginPro	[PMC3049466]
OsiriX	OsiriX	[PMC3691378]
OsiriX MD	OsiriX MD	[PMC4963800]
Ovid	Ovid	[PMC3763098]
Ox	Ox	[10.1007%2Fs10258-013-0091-1]
OxMetrics	OxMetrics	[10.1111%2Fobes.12195,10.1007%2Fs10663-015-9287-1]
PACS	PACS	[PMC3863651]
PASS	PASS	[PMC3040438,PMC4568189]
PAST	PAST	[PMC5419106]
PASW	PASW	[PMC2995975,PMC4338086,PMC3383247,PMC4386214,PMC3031013,PMC3988440,PMC3825938,PMC4857864]
PASW Statistics	PASW Statistics	[PMC4779866,PMC3028489,PMC3835501,PMC4922354,PMC4513216,PMC4360915,PMC4107842,PMC3309518,PMC3293421]
PASW statistics	PASW statistics	[PMC4345725]
PAUP	PAUP	[PMC3251324,PMC3065992]
PCMA	PCMA	[PMC1636350]
PClamp	PClamp	[PMC4147369]
PDB	PDB	[PMC3013677]
PDQuest	PDQuest	[PMC4918545]
PERL	PERL	[PMC1635254,PMC3639448,PMC2447807]
PFAM-A	PFAM-A	[PMC3013677]
PHASER	PHASER	[PMC4790474,PMC2943325]
PHAST	PHAST	[PMC3138425]
PHDsec	PHDsec	[PMC3130168]
PHENIX	PHENIX	[PMC3575798,PMC2556094,PMC5389568]
PHP	PHP	[PMC3935166,PMC3013778,10.1111%2Fj.1475-4932.2008.00494.x,PMC2447807]
PHYLIP package	PHYLIP package	[PMC3627563]
PILER-CR	PILER-CR	[PMC1933234]
PISE	PISE	[PMC2773253]
PLINK	PLINK	[PMC4504747,PMC2927682]
PLS Toolbox	PLS Toolbox	[PMC5078571]
POODLE-L	POODLE-L	[PMC2935446]
POODLE-S	POODLE-S	[PMC2935446]
POODLE-W	POODLE-W	[PMC2935446]
POP-GENE	POP-GENE	[PMC4123385]
POPGENE	POPGENE	[PMC4792857]
POV-Ray	POV-Ray	[PMC1934993]
PPRL	PPRL	[10.1515%2Fjbnst-2017-1004]
PRIMUS	PRIMUS	[PMC5143422]
PRISM	PRISM	[PMC3765960,PMC4791326,PMC2781407,PMC2646063]
PROC UNI-VARIATE	PROC UNI-VARIATE	[PMC5108428]
PROC UNIVARIATE	PROC UNIVARIATE	[PMC5108428]
PROCHECK	PROCHECK	[PMC2626662,PMC1934993]
PROFBval	PROFBval	[PMC2935446]
PROFbval	PROFbval	[PMC2935446]
PROSA	PROSA	[PMC3130168]
PROarray	PROarray	[PMC5414856]
PRTools	PRTools	[PMC4713128]
PS	PS	[PMC5071723]
PSCAN	PSCAN	[PMC3549877]
PSI-PRED	PSI-PRED	[PMC1636350]
PSIPRED	PSIPRED	[PMC3130168]
PSORTII	PSORTII	[PMC2652046]
PSQ Assay Design Software	PSQ Assay Design Software	[PMC3284254]
PVS	PVS	[10.1257%2Faer.p20161124]
PYMOL	PYMOL	[PMC3105518,PMC2626662]
Pandit	Pandit	[PMC2447753]
PanelWhiz	PanelWhiz	[10.1111%2Fj.1467-8462.2013.12010.x]
Path Designer of IPA	Path Designer of IPA	[PMC3322527]
Pathway Analysis	Pathway Analysis	[PMC4271550]
Pathway Commons	Pathway Commons	[PMC2686461]
Paup	Paup	[a2001-40-MOL_ECOL]
PeakFit	PeakFit	[PMC3927753]
Peptide-Prophet	Peptide-Prophet	[PMC2649809]
PeptideProphet	PeptideProphet	[PMC2649809]
Percolator	Percolator	[PMC3770329]
PerkinElmer Quantum FX	PerkinElmer Quantum FX	[PMC4410849]
Perl	Perl	[PMC1635254,PMC3013778,PMC4453596]
Perl program	Perl program	[PMC2532740]
Pfam	Pfam	[PMC3223056]
PhPWin	PhPWin	[PMC4449848]
Phenix	Phenix	[PMC4790474,PMC5143422]
Phobius	Phobius	[PMC4112233]
Phoenix WinNonLin	Phoenix WinNonLin	[PMC3464772]
Phoenix WinNonlin	Phoenix WinNonlin	[PMC5084670]
Phonegap	Phonegap	[PMC3589687]
PhosphoRS	PhosphoRS	[PMC5339831]
Phosphor Analyst	Phosphor Analyst	[PMC2703206]
Photoshop	Photoshop	[PMC2886355,PMC3373399,PMC3328383,PMC2742187,PMC3741479,PMC4713128,PMC3529531,PMC3514035,PMC3608489,PMC5413303,PMC3727320,PMC3025493,PMC4792979,PMC3020640]
Phred/Phrap/Consed package	Phred/Phrap/Consed package	[PMC3490414]
PhyML	PhyML	[PMC3762194]
Phylip	Phylip	[PMC2773253]
PhyloPattern	PhyloPattern	[PMC5065646]
Phylodendron	Phylodendron	[PMC3384331]
Phyutility	Phyutility	[PMC2950835]
PiView STAR	PiView STAR	[PMC3891859]
Picard	Picard	[PMC3630384]
Pipeline Pilot	Pipeline Pilot	[PMC3245946]
Pixelmator	Pixelmator	[PMC4812504]
PlatProm	PlatProm	[PMC2731890]
PlayMOBY	PlayMOBY	[PMC2773253]
Plink	Plink	[PMC2678927]
PlotDigitizer	PlotDigitizer	[PMC4809623]
PolyPhen	PolyPhen	[PMC5421174]
PolyPhen2-HDIV	PolyPhen2-HDIV	[PMC5132076]
PolyPhen2-HVAR	PolyPhen2-HVAR	[PMC5132076]
PomBase	PomBase	[PMC5210605]
Poretools	Poretools	[PMC5406524]
PostgreSQL	PostgreSQL	[PMC4039861,PMC3013778]
PowerLab	PowerLab	[PMC5413540]
Praline	Praline	[PMC3384331]
Predotar	Predotar	[PMC2652046]
Premiere	Premiere	[PMC3722356]
Prexion3DViewer	Prexion3DViewer	[PMC5370249]
Primary Analysis	Primary Analysis	[PMC5129524]
Prime	Prime	[PMC4280825]
Primer	Primer	[PMC3130168,PMC3691566,PMC4527497,PMC3013778,PMC4103605,PMC2682500,PMC5478307,PMC4103437,PMC2836542]
Primer Designer	Primer Designer	[PMC3490414]
Primer Express	Primer Express	[PMC3130168,PMC3337072,PMC3276086]
Primer Express Software	Primer Express Software	[PMC3600596]
Primer Premier	Primer Premier	[PMC4123385,PMC5244966]
Primer v	Primer v	[PMC3132874]
Primer-BLAST	Primer-BLAST	[PMC3018578]
Prism	Prism	[PMC3778302,PMC3373399,PMC5359128,PMC5094513,PMC3405507,PMC3474945,PMC5446083,PMC4634622,PMC3674238,PMC4919585,PMC2768165,PMC5467779,PMC4632900,PMC3442822,PMC4150213,PMC5453893,PMC2804221,PMC3529531,PMC4843533,PMC4567174,PMC3198080,PMC4925014,PMC4066774,PMC5476471,PMC3297833,PMC3526355,PMC3001088,PMC5143422,PMC2700377,PMC4618831,PMC4411514,PMC4913573,PMC4501418,PMC3025493,PMC4631805,PMC2646063]
Prism, GraphPad	Prism, GraphPad	[PMC2768165]
Prisma	Prisma	[PMC4616920]
Pro-tec processor	Pro-tec processor	[PMC3184742]
ProComp Infiniti	ProComp Infiniti	[PMC4857864]
ProMEX	ProMEX	[PMC2529246]
ProSAS	ProSAS	[PMC3013677]
ProbCons	ProbCons	[PMC1636350]
ProbCons-type	ProbCons-type	[PMC1636350]
Prodigal	Prodigal	[PMC3686433]
Profiler	Profiler	[PMC2677890]
ProgRes Capture Pro	ProgRes Capture Pro	[PMC5373906]
Prophet	Prophet	[10.3846%2Fbtp.2011.05]
Prosper.com	Prosper.com	[10.1257%2Fjep.26.2.189]
ProtParam	ProtParam	[PMC5112610]
ProtScale	ProtScale	[PMC5112610]
ProtTest	ProtTest	[PMC3762194]
Protea	Protea	[PMC2447753]
Protein Deconvolution	Protein Deconvolution	[PMC5419080]
Protein Preparation Wizard	Protein Preparation Wizard	[PMC4280825]
ProteinProphet	ProteinProphet	[PMC2649809]
Proteinlynx Global Server	Proteinlynx Global Server	[PMC1874646]
Proteome Discoverer	Proteome Discoverer	[PMC4128792,PMC5339831,PMC5220168,PMC3770329]
Proteome Software	Proteome Software	[PMC3770329]
ProteomeDiscovere	ProteomeDiscovere	[PMC4770866]
Provantis	Provantis	[PMC5414856]
Pscan	Pscan	[PMC5435914]
PseudoGeneQuest	PseudoGeneQuest	[PMC3567485]
PubMed	PubMed	[PMC4863732,PMC5210605]
PubPub	PubPub	[10.1162%2Fqjec.2005.120.1.273,10.1162%2Fqjec.2006.121.1.289,10.1162%2Fqjec.2005.120.1.131,10.1162%2Fqjec.2005.120.1.87,10.1162%2Fqjec.121.4.1383,10.1162%2Fqjec.2005.120.1.345]
Publish or Perish	Publish or Perish	[10.1007%2Fs10888-015-9317-z]
Pulse and Patchmaster	Pulse and Patchmaster	[PMC4380214]
PyMOL	PyMOL	[PMC3194040,PMC3077646,PMC2943325,PMC3273808,PMC3177212,PMC2034468]
PyMol	PyMol	[PMC2447781,PMC5143422]
Pyicos	Pyicos	[PMC5435914]
Pyro Q-CpG	Pyro Q-CpG	[PMC3329502]
Pyro Q-CpG Software	Pyro Q-CpG Software	[PMC3284254]
PyroMark Assay Design	PyroMark Assay Design	[PMC3329502]
Python	Python	[10.1111%2Fjors.12246]
Q-Capture Pro	Q-Capture Pro	[PMC3727320]
Q-bank	Q-bank	[PMC3589787]
QBasePlus	QBasePlus	[a2010-05-BMC_MOL_BIOL]
QDD	QDD	[PMC4103605]
QIIME	QIIME	[PMC4004741]
QLAB	QLAB	[PMC5328613]
QMASS	QMASS	[PMC3487307]
QSR International NVivo	QSR International NVivo	[PMC4120417]
QUANTO	QUANTO	[PMC5387758]
QUSHAPE	QUSHAPE	[PMC4163634]
Qangio XA	Qangio XA	[PMC4733777]
QmRLFS-finder	QmRLFS-finder	[PMC5210542]
Qmass MR	Qmass MR	[PMC4189227]
Qrna	Qrna	[PMC2447753]
Qualtrics	Qualtrics	[PMC5304233,PMC4915762]
QuantPrime	QuantPrime	[PMC4800296]
Quantity One	Quantity One	[PMC5329788,PMC3245946,PMC3281244,PMC5360361,PMC3001089,PMC4615379]
Quantity One analyzer	Quantity One analyzer	[PMC3558167]
Quantity-one	Quantity-one	[PMC3730412]
QuantityOne	QuantityOne	[PMC3494016]
Quantum GIS	Quantum GIS	[PMC3627965]
QuiXoT	QuiXoT	[PMC5220168]
Qwin	Qwin	[PMC4832950]
Qwin image analysis	Qwin image analysis	[PMC4832950]
R	R	[PMC5015293,PMC5066446,PMC4478705,PMC3230829,10.1111%2Fjors.12246,PMC3960616,10.1111%2Fj.1467-9957.2008.01084.x,PMC3202757,10.1002%2Fijfe.1570,PMC4267110,PMC5238813,PMC4647257,PMC3464766,PMC4853138,PMC4069613,PMC4271550,PMC4986689,PMC1635254,PMC3361050,PMC5078571,PMC4093824,PMC4899081,PMC5299485,PMC3995286,PMC4589655,PMC4025442,PMC3337072,PMC2650971,PMC4736987,PMC4816756,PMC4361860,PMC4809623,PMC4586740,PMC5129490,PMC3913674,PMC4875560,PMC2238715,PMC4389438,PMC3419515,PMC4832084,PMC4066774,PMC3123123,PMC5284477,PMC3939454,PMC4316942,PMC3881473,PMC3717207,PMC4062930,PMC4819553,PMC5010096,PMC5210394,PMC4183043,10.1111%2F1467-8462.12246,PMC5008171,PMC4615379,PMC4797302,PMC3939369,PMC3394976,PMC4131081,PMC4323784,PMC4251217]
R BioConductor	R BioConductor	[PMC4049090]
R Statistical Software	R Statistical Software	[PMC4812504]
R Studio	R Studio	[PMC4387613]
R environment	R environment	[PMC3708637]
R lawstat package	R lawstat package	[PMC4812504]
R package glmnet	R package glmnet	[PMC3464766]
R program	R program	[PMC2650971]
R project	R project	[PMC4832946]
R software environment for statistical computing and graphics	R software environment for statistical computing and graphics	[10.1007%2Fs11123-009-0142-x]
R software package	R software package	[PMC3256755]
R statistical	R statistical	[PMC3563119]
R statistical package	R statistical package	[PMC3007589]
R-Bioconductor	R-Bioconductor	[PMC3597687]
R-CHIE	R-CHIE	[PMC4615214]
R/affy package	R/affy package	[PMC3337072]
R/beadarray	R/beadarray	[PMC3337072]
R/beadarray package	R/beadarray package	[PMC3337072]
R/maanova	R/maanova	[PMC3337072]
R/maanova package	R/maanova package	[PMC3337072]
R/preprocessCore	R/preprocessCore	[PMC3337072]
R/preprocessCore package	R/preprocessCore package	[PMC3337072]
R: A Language and Environment for Statistical Computing	R: A Language and Environment for Statistical Computing	[PMC5015293]
RALEE	RALEE	[PMC4615214]
RAPID Reader	RAPID Reader	[PMC5320029]
RASTA-Bacteria	RASTA-Bacteria	[PMC3013778]
RATS	RATS	[10.1257%2Fjep.15.4.157,10.1086%2F654078]
RAxML	RAxML	[PMC3762194,PMC3132874,PMC4103437]
RECIST	RECIST	[PMC3749580]
REDCap	REDCap	[PMC4387613,PMC3246293]
REDCap Mobile	REDCap Mobile	[PMC3246293]
REFMAC	REFMAC	[PMC2626662,PMC3575798,PMC1934993]
REST	REST	[PMC3322527]
REX2000	REX2000	[PMC4097343]
RGP	RGP	[PMC5238813]
RIFREG	RIFREG	[10.1111%2Flabr.12083]
RNALocate	RNALocate	[PMC5210605]
RNAfold	RNAfold	[PMC5424272]
RNAi Designer	RNAi Designer	[PMC3890344]
RNAsc	RNAsc	[PMC4163634]
RNAscf	RNAscf	[PMC1933159]
RNAstructure	RNAstructure	[PMC4163634]
RNAz	RNAz	[PMC2447753]
RPBS	RPBS	[PMC2773253]
RPGM	RPGM	[PMC3686433]
RPSBLAST	RPSBLAST	[PMC3013778]
RStudio	RStudio	[PMC5063056,PMC4819553]
RT2 Profiler	RT2 Profiler	[PMC5225149]
RUMM	RUMM	[PMC5293311]
Random Number Generator	Random Number Generator	[PMC3708637]
RasMol	RasMol	[PMC2447753]
RasTop	RasTop	[PMC4767401]
RatioPlus	RatioPlus	[PMC3628511]
ReAdW	ReAdW	[PMC2649809]
ReVue	ReVue	[PMC5413303]
ReadyReturn	ReadyReturn	[10.1002%2Fsoej.12244]
Real-SPINE3	Real-SPINE3	[PMC2935446]
RealNetworks	RealNetworks	[10.1257%2Fjep.15.2.25]
Reconstruct	Reconstruct	[PMC3925948]
Regional Input-Output Multiplier System	Regional Input-Output Multiplier System	[10.1257%2Fjep.30.2.201]
RehaCom	RehaCom	[PMC4662707]
Reify Health	Reify Health	[PMC4231936]
Remora	Remora	[PMC2773253]
RepeatMasker	RepeatMasker	[PMC3138425,PMC5424272]
ReportCARD	ReportCARD	[PMC3835222]
Research Randomizer	Research Randomizer	[PMC4368909]
RevMAn	RevMAn	[PMC4015203]
RevMan	RevMan	[PMC4548766,PMC4583605,PMC4748904,PMC4536843,PMC4282059]
Review Manager	Review Manager	[PMC4985391,PMC4225296,PMC4470347,PMC5113931,PMC4015203,PMC4621286,PMC5384723]
Review Manager (RevMan	Review Manager (RevMan	[PMC4027853,PMC4839839]
Review Manager Software	Review Manager Software	[PMC4898839]
Revman	Revman	[PMC4548766]
Rhinoceros	Rhinoceros	[PMC4628493]
Ribbon	Ribbon	[PMC1934993]
Roman	Roman	[PMC3529402]
RosettaDesign	RosettaDesign	[PMC2034468]
Rstudio	Rstudio	[PMC4664003]
SAGE	SAGE	[PMC3655304]
SAM	SAM	[PMC2911847,PMC2881384]
SAMtools	SAMtools	[PMC4797302]
SAS	SAS	[PMC4750616,PMC3902349,PMC3822109,PMC4985394,PMC5181807,PMC4267110,PMC4559775,PMC2780877,PMC5091065,PMC4767401,PMC5019152,PMC3956627,PMC3029787,PMC3595153,PMC4264456,PMC2638544,PMC3822024,10.1257%2Faer.102.3.691,PMC3361050,PMC5039120,PMC5372019,PMC3646185,PMC5293311,PMC4801153,10.1007%2Fbf00163432,PMC4804676,PMC3994306,PMC3524325,PMC4188109,PMC4717942,10.1111%2Fcwe.12158,PMC4225645,PMC4331978,PMC5387955,PMC4153088,PMC3448160,PMC4976915,PMC4453596,PMC3426798,PMC5300027,PMC4809187,PMC4649725,PMC3379598,PMC4716173,PMC4589655,PMC4025442,PMC3467590,PMC3708637,PMC3894438,PMC3020393,PMC3223056,PMC4093164,PMC3600908,PMC3263915,PMC5149064,PMC4366701,PMC4387613,PMC4213536,PMC5293859,PMC3724279,PMC5135399,PMC4274470,PMC3598424,PMC3816860,PMC5056957,PMC4310378,PMC4093267,PMC2830412,PMC4316942,PMC3661168,PMC4740966,PMC3447890,PMC4164725,PMC4273078,PMC5210339,PMC2808573,PMC4816035,10.1257%2Fjep.15.4.157,PMC4966572,PMC4913653,PMC3296922,PMC5010096,PMC3532996,PMC3837047,PMC5314818,10.1111%2F1467-8462.12246,10.1111%2Fecin.12086,PMC4963800,PMC4785322,PMC4733777,PMC4951474,PMC2895706]
SAS Enter-prise Guide	SAS Enter-prise Guide	[PMC2927939]
SAS Enterprise Guide	SAS Enterprise Guide	[PMC2927939,10.1111%2F1467-8462.12246]
SAS JMP	SAS JMP	[PMC5029575]
SAS System	SAS System	[PMC4967653]
SAS program	SAS program	[PMC4213536,PMC2830412]
SAS statistical	SAS statistical	[PMC5039120]
SAS/STAT	SAS/STAT	[PMC3263864]
SASSIE	SASSIE	[10.3846%2Fbtp.2011.05]
SAVE	SAVE	[PMC4508259]
SCALA	SCALA	[PMC2626662]
SCALEPACK	SCALEPACK	[PMC2943325]
SCOP	SCOP	[PMC1538888]
SDS	SDS	[PMC2846736,PMC3734831,PMC3256755]
SEARCH	SEARCH	[10.1257%2Fjep.2.1.153]
SEDFIT	SEDFIT	[PMC3055594]
SEER stat	SEER stat	[PMC4361860]
SEM	SEM	[PMC3457735,PMC4927739]
SEQUENCENAVIGATOR	SEQUENCENAVIGATOR	[a2001-40-MOL_ECOL]
SEQUEST	SEQUEST	[PMC4959023]
SHAPEKNOTS	SHAPEKNOTS	[PMC4163634]
SHARP/autoSHARP	SHARP/autoSHARP	[PMC1934993]
SHEsis	SHEsis	[PMC5265988]
SIENAX	SIENAX	[PMC4683424]
SIFT	SIFT	[PMC5132076,PMC3927206]
SIMCA-P	SIMCA-P	[PMC2238715,PMC3717207]
SIMCEP	SIMCEP	[PMC4374707]
SISVAR	SISVAR	[PMC4568868]
SL2	SL2	[PMC4987885]
SMART Project program	SMART Project program	[PMC4231936]
SNAP	SNAP	[PMC4540966]
SNAPP	SNAPP	[PMC4898791]
SNPAlyse	SNPAlyse	[PMC3522449]
SOAPsnp	SOAPsnp	[PMC5478307]
SOFI	SOFI	[PMC1636350]
SOLID	SOLID	[PMC3627563]
SPARTAN	SPARTAN	[PMC3771852]
